queryId,docId,similarite
1,1572,0.45435158116565316
1,2319,0.41516367414699656
1,1519,0.3082345474419451
1,2868,0.2961226313309408
1,2380,0.26898082526305106
1,1844,0.26833405159501533
1,2365,0.2650949790461394
1,2087,0.26396549244423567
1,1523,0.26245419281791277
1,2740,0.25858769423891276
1,98,0.2516398912021333
1,2796,0.2496216247656606
1,1168,0.24731030703972856
1,1304,0.24670158146178378
1,796,0.23858513069961595
1,2424,0.23742994718841434
1,271,0.23638691695740782
1,1534,0.23521265069088154
1,1755,0.23468921553463906
1,1544,0.23016545634198743
1,2054,0.2276173683266347
1,197,0.2263971207738767
1,294,0.2263971207738767
1,2917,0.22165614330242958
1,1264,0.22047096838435862
1,1069,0.21994163652578702
1,866,0.21532345740273473
1,398,0.21256723059353116
1,3024,0.21160693459579447
1,585,0.21000759117767165
1,2321,0.20860214118009812
1,2372,0.20676228729682286
1,2632,0.20558668679182712
1,2378,0.2050791428719357
1,2597,0.20472785247592498
1,2371,0.20354698624930603
1,971,0.20329096156761034
1,3068,0.20034639105650964
1,2867,0.19971102239150812
1,1106,0.19869256729340487
1,1107,0.19803803546113513
1,1271,0.19698222431015075
1,3082,0.19607573933523464
1,1605,0.19570203461625735
1,1033,0.19479499709029552
1,2379,0.18999105543114717
1,2070,0.1879644371800567
1,275,0.1874761149393836
1,2992,0.1812419399379708
1,1938,0.17724678006570846
1,2689,0.17506436979366943
1,1712,0.1736694630013299
1,3127,0.1721897843963385
1,2853,0.16939837291717613
1,414,0.1671037314693389
1,3048,0.1645628616791984
1,1642,0.1644422037960625
1,594,0.16370484641328722
1,3002,0.16350861922896923
1,1960,0.16254811770145386
1,2951,0.16148615471650662
1,2947,0.16143193970214556
1,190,0.1606513489423262
1,1515,0.16027938172018885
1,2114,0.15892081112838027
1,1752,0.1558826714004083
1,277,0.15575727825928148
1,391,0.15428012622812426
1,1161,0.153933140461161
1,3089,0.15272591628552137
1,2984,0.15195897318290638
1,1680,0.1518142416368936
1,2228,0.15144031786642678
1,2999,0.14944254797106638
1,1464,0.1486239216770466
1,189,0.14675033705985382
1,1410,0.14564613273043173
1,2965,0.1453989052559542
1,1461,0.1453751980239042
1,67,0.14292674661772098
1,1749,0.14289177754759033
1,1506,0.1428102345599938
1,2519,0.14135086630930407
1,1937,0.14125263885289294
1,1827,0.14080297334258732
1,2034,0.14004564586112472
1,2875,0.13933061761548302
1,334,0.13841160153865062
1,3169,0.13822247197221477
1,1505,0.1381672132760175
1,3168,0.1349720184603686
1,586,0.13411434463674735
1,60,0.13298011499547116
1,157,0.1320624694998913
1,1459,0.1320129346146643
1,1617,0.13166984075463897
1,439,0.13145994174173053
1,1734,0.1314135594239664
1,1880,0.1314135594239664
1,656,0.12988504981213986
1,637,0.12966228298760388
1,135,0.1292622413246252
1,148,0.1292622413246252
1,1070,0.1279720124343087
1,2399,0.1276060612847763
1,61,0.12742803002631367
1,1570,0.12664191467153182
1,171,0.12627324243216745
1,1260,0.12600059733143495
1,1891,0.1250564970381681
1,1853,0.12496647412173097
1,2959,0.12456847796600927
1,2948,0.12447758551718985
1,1977,0.1244053154073055
1,3137,0.12436798614100508
1,2105,0.12414805715698922
1,2143,0.12372315528753534
1,1685,0.12330660997414329
1,163,0.12317551332608404
1,50,0.12312829451955225
1,1794,0.123077279211979
1,252,0.12303361003087634
1,2318,0.12282033169517159
1,2577,0.12279421727818485
1,2514,0.12155337259784671
1,2317,0.12142431422926458
1,2169,0.12102064443650186
1,1164,0.12100027192088227
1,1591,0.12064740581576425
1,2389,0.1204734026698561
1,1753,0.12043719858122738
1,3025,0.12039439175683486
1,731,0.12033872035959603
1,1386,0.11998011200560935
1,6,0.11971809886604182
1,1533,0.11913251824732887
1,972,0.1187695397841892
1,2302,0.11868775617113879
1,31,0.11862896735621384
1,675,0.11828529735018081
1,1653,0.11825248617030787
1,1088,0.11729815833344219
1,2452,0.11723835853736782
1,2629,0.11718386887768965
1,1462,0.11704970594206149
1,2730,0.11692979161335132
1,2423,0.11688895044022708
1,2320,0.11646592745070136
1,73,0.11608192465479167
1,2841,0.11605793780303567
1,1657,0.11559080558383862
1,202,0.11552718181454609
1,1750,0.11534310244393602
1,1083,0.11533401024369441
1,2759,0.11476585594628473
1,71,0.1147574095501857
1,2838,0.11470906774114932
1,118,0.1144914894472052
1,1393,0.11430841619019239
1,2209,0.11424234709193813
1,1226,0.11410629409387144
1,2859,0.11398274831197015
1,1427,0.11393942336899555
1,1309,0.11285154315727852
1,798,0.11271277700268717
1,2522,0.112585227599671
1,3067,0.11214075828766268
1,2768,0.11213818288027294
1,1118,0.11196344642881362
1,1908,0.11171735112137011
1,2681,0.11164568773818677
1,3012,0.11120190256934007
1,1571,0.11118445460486662
1,234,0.1108601418053191
1,1626,0.11047913035856087
1,826,0.11026055311029194
1,1682,0.11003936807586594
1,2080,0.11003211509558439
1,1238,0.10943167756996287
1,3128,0.10937738100765022
1,1878,0.10931297094654523
1,1483,0.1092167135549214
1,1719,0.10920230316497488
1,1484,0.10917184106454776
1,2541,0.10866886915551872
1,2642,0.1083441420238024
1,1852,0.10826322306319801
1,1604,0.10806198710342282
1,1885,0.10649336855572662
1,1744,0.1063435424482747
1,1877,0.10610276257179313
1,999,0.10605666070938696
1,2219,0.10559488058550556
1,105,0.10543889040909322
1,1998,0.10540537609366045
1,2971,0.10538445043390944
1,2786,0.10531725444118199
1,1931,0.10474180237152311
1,2697,0.10446991047441713
1,2667,0.10436376636835198
1,2535,0.10369257695778035
1,1412,0.10365176387325113
1,852,0.1036184566871182
1,944,0.10354157758128829
1,438,0.1031443303749151
1,198,0.10314363262801958
1,3027,0.1029111071168691
1,1050,0.10234803526731022
1,1723,0.10215345653182463
1,254,0.10185701757534969
1,2560,0.10151849508226808
1,2356,0.10140780835681477
1,2928,0.10118715631730058
1,415,0.10097534866323818
1,3184,0.10061304513570471
1,2972,0.10056690520192771
1,2700,0.10051653559753654
1,1213,0.1004976794833627
1,728,0.10047481013487018
1,2718,0.10045590994884682
